PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
01/03/1999,25,20,14,11,8,4,72,49,26,1015,1014,1013,7,7,6,13,6,,0,1,,283
02/03/1999,28,19,10,13,8,4,82,54,24,1015,1013,1011,8,6,3,14,3,,0,1,,282
03/03/1999,27,20,13,14,11,6,88,70,26,1014,1012,1011,6,5,2,10,0,,0,3,,310
04/03/1999,22,17,13,16,13,10,88,78,56,1014,1011,1009,8,6,3,29,6,,0,5,Rain-Thunderstorm,343
05/03/1999,25,20,15,17,13,11,82,70,47,1011,1009,1006,10,7,6,19,11,,0,4,,348
06/03/1999,25,20,15,17,14,12,83,70,47,1009,1007,1006,7,6,4,21,6,,0,5,,321
07/03/1999,23,19,16,16,14,13,83,76,60,1010,1008,1007,8,6,5,16,8,,0,5,Rain,353
08/03/1999,25,20,16,19,16,13,100,85,69,1006,1005,1001,8,6,4,14,8,,0,4,Rain-Thunderstorm,14
09/03/1999,23,17,11,15,13,10,94,74,53,1016,1008,1006,8,6,2,13,3,,0,4,,305
10/03/1999,25,20,15,14,12,8,88,68,34,1011,1008,1006,10,5,2,11,2,,0,2,,344
11/03/1999,26,19,12,14,9,2,94,63,22,1011,1009,1008,10,5,2,16,3,,0,0,,284
12/03/1999,26,18,11,12,9,5,88,58,28,1011,1009,1008,8,6,4,14,3,,0,1,,310
13/03/1999,27,19,12,10,8,5,77,46,26,1013,1011,1009,10,7,6,19,6,,0,0,,296
14/03/1999,,,,,,,,,,,,,,,,,,,,,,
15/03/1999,,,,,,,,,,,,,,,,,,,,,,
16/03/1999,13,,13,11,11,11,88,88,88,1007,1007,1007,2,2,2,0,0,,0,1,,-1
17/03/1999,,,,,,,,,,,,,,,,,,,,,,
18/03/1999,,,,,,,,,,,,,,,,,,,,,,
19/03/1999,,,,,,,,,,,,,,,,,,,,,,
20/03/1999,,,,,,,,,,,,,,,,,,,,,,
21/03/1999,,,,,,,,,,,,,,,,,,,,,,
22/03/1999,,,,,,,,,,,,,,,,,,,,,,
23/03/1999,,,,,,,,,,,,,,,,,,,,,,
24/03/1999,,,,,,,,,,,,,,,,,,,,,,
25/03/1999,,,,,,,,,,,,,,,,,,,,,,
26/03/1999,,,,,,,,,,,,,,,,,,,,,,
27/03/1999,,,,,,,,,,,,,,,,,,,,,,
28/03/1999,,,,,,,,,,,,,,,,,,,,,,
29/03/1999,,,,,,,,,,,,,,,,,,,,,,
30/03/1999,,,,,,,,,,,,,,,,,,,,,,
31/03/1999,,,,,,,,,,,,,,,,,,,,,,
